J,k,K,S2,N,p,std
9.788788289737688,1.0,1.02197332562242,79.00000000000003,100,0.75,4.3917277951908975
9.799991764823652,1.25,1.0033966747492178,85.37500000000003,100,0.75,4.512839479929991
9.818368612917816,1.5,1.0011018495502226,118.00000000000001,100,0.75,2.5758447018145683
9.878544384865304,1.75,1.00978044029875,215.375,100,0.75,3.4707411991705994
9.917408145510054,2.0,1.0143137752961837,297.0000000000001,100,0.75,3.21845415539116
9.919913559494324,2.25,1.0089170193521135,335.12499999999994,100,0.75,3.332451748378895
10.375860297421553,2.5,1.0446782836791269,800.9999999999998,100,0.75,3.663031742330951
10.260468120161192,2.75,1.0855576187084217,2315.1250000000005,100,0.75,3.1242873270261464
10.589827583656426,3.0,1.072476576065036,1278.9999999999998,100,0.75,4.244096227305741
9.948802112683415,3.25,1.0117266957850353,486.875,100,0.75,2.8912985307135055
10.552830195350195,3.5,1.1065653095423575,1054.4999999999998,100,0.75,3.4644681266213477
10.344214956276394,3.75,1.0315879570804531,1069.75,100,0.75,3.574722066111805
10.702434835578746,4.0,1.0635360806816256,1696.9999999999995,100,0.75,3.530439998765491
10.289748923956994,4.25,1.055735291264796,2746.5000000000005,100,0.75,4.208252611351178
10.245100564801557,4.5,1.0290881529857838,2188.0000000000005,100,0.75,3.4184139036032257
10.476677623535025,4.75,1.0697007117388766,3024.375,100,0.75,4.823518836373561
10.308853199511502,5.0,1.0194605927610194,1050.9999999999998,100,0.75,3.7854273752387018
0,0.0,0.9900498502502464,1.0000000000000004,100,0.75,3.293926543437743
5.014608848361966,0.25,0.9936171243599692,4.374999999999999,100,0.75,3.462812355357455
9.13615176002664,0.5,0.996546587829503,22.0,100,0.75,4.089325810178725
9.140521697918867,0.75,0.9995665015213615,35.874999999999986,100,0.75,3.4171921798454172
9.781853762122953,1.0,1.0029276658603556,59.0,100,0.75,2.6613406509090596
9.829274593636713,1.25,1.0191626255294228,116.62500000000001,100,0.75,4.634271860576944
9.888762872809593,1.5,1.0424503016575941,325.0,100,0.75,3.8029918329931793
9.844363525927578,1.75,1.0004152766631667,178.62499999999994,100,0.75,2.758856614154865
10.009221148903887,2.0,1.0160153956315996,304.99999999999994,100,0.75,2.8233007750713215
9.945281146604223,2.25,1.0236714985453912,365.5,100,0.75,4.678327036314598
9.899150283476827,2.5,1.0088687666795026,350.99999999999994,100,0.75,3.8518694731670653
9.973067930586113,2.75,1.0103574465176672,469.875,100,0.75,2.56415285614529
10.2165689207602,3.0,1.0352242891256926,883.0,100,0.75,2.9481375375155867
10.183484328625974,3.25,1.028458924792106,1183.9999999999998,100,0.75,3.379598300723194
10.105649011345541,3.5,1.0260657060508462,1520.0,100,0.75,3.0492165742648614
9.984253832369664,3.75,1.0492293990049484,1294.7499999999998,100,0.75,3.5900846125364576
10.085326282951316,4.0,1.050140857591839,1856.9999999999993,100,0.75,3.1674484294636147
10.322650201827779,4.25,1.0259369719538995,1084.75,100,0.75,2.5557247068168043
